date,symbol,name,open,high,low,close,prev_close,volume
2026-08-25,20MICRONS,20 MICRONS LTD,215.2,215.9,208.0,210.65,213.26,149537
2026-08-25,21STCENMGM,21ST CENTURY MGMT SERVICE,43.97,44.62,43.15,43.17,43.97,4222
2026-08-25,360ONE,360 ONE WAM LIMITED,1191.2,1210.0,1186.4,1210.0,1189.8,539607
2026-08-25,GOLD360,360ONEAMC - GOLD360,158.2,158.2,156.15,156.45,157.05,129924
2026-08-25,MSCI360,360ONEAMC - MSCI360,10.77,10.77,10.18,10.31,11.59,126047
2026-08-25,SILVER360,360ONEAMC - SILVER360,236.0,239.5,234.56,235.94,238.22,88364
2026-08-25,3BBLACKBIO,3B BLACKBIO DX LTD.,1261.5,1279.0,1230.1,1262.4,1261.6,11001
2026-08-25,3MINDIA,3M INDIA LIMITED,33800.0,33990.0,33400.0,33695.0,33885.0,1288
2026-08-25,3PLAND,3P LAND HOLDINGS LIMITED,32.2,32.2,31.53,31.99,31.73,2281
2026-08-25,5PAISA,5PAISA CAPITAL LIMITED,374.8,383.0,369.2,380.65,374.8,30476
2026-08-25,63MOONS,63 MOONS TECHNOLOGIES LTD,799.55,822.0,780.0,782.75,800.25,227133
2026-08-25,ABCOTS,A B COTSPIN INDIA LIMITED,212.0,212.0,200.1,204.6,208.43,6782
2026-08-25,ABMKNO,A B M KNOWLEDGEWARE LTD.,188.0,197.0,183.0,192.24,188.15,1014
2026-08-25,ACSTECH,A C S TECHNOLOGIES LTD.,52.49,52.49,50.5,50.96,51.39,283434
2026-08-25,AKCAPIT,A K CAPITAL SERVICES LTD.,1780.0,1780.0,1743.8,1752.8,1758.5,284
2026-08-25,A2ZINFRA,A2Z INFRA ENGINEERING LTD,16.07,16.38,15.85,15.97,16.07,368912
2026-08-25,AAATECH,AAA TECHNOLOGIES LIMITED,95.0,95.98,91.1,92.04,95.0,11730
2026-08-25,AADHARHFC,AADHAR HOUSING FINANCE L,466.45,477.85,465.0,475.0,466.45,541218
2026-08-25,AAKASH,AAKASH EXPLORATION SER L,8.85,8.96,8.66,8.8,8.77,93840
2026-08-25,AAREYDRUGS,AAREY DRUGS & PHARM LTD,78.11,78.83,74.6,76.91,78.1,111186
2026-08-25,AARON,AARON INDUSTRIES LIMITED,139.0,139.38,137.61,138.98,137.18,6874
2026-08-25,AARTIDRUGS,AARTI DRUGS LTD.,423.0,426.45,415.8,422.2,421.05,119365
2026-08-25,AARTIIND,AARTI INDUSTRIES LTD,543.15,551.75,534.2,538.9,543.15,1301000
2026-08-25,AARTIPHARM,AARTI PHARMALABS LIMITED,844.0,851.2,826.6,834.95,843.15,387475
2026-08-25,AARVI,AARVI ENCON LIMITED,152.71,153.54,147.55,150.76,152.71,31722
